Seller_Email,Listing_ID,Category,Auction_Title,Product_Name,Product_Description,Quantity,Reserve_Price,Max_bids,Status
wspadelli8j@lsu.edu,747,Bakery & Bread,Freshness Guaranteed Steak Rolls,Steak Rolls,Yummy Rolls,5,50.0,3,1
wspadelli8j@lsu.edu,2513,Bakery & Bread,Freshness Guaranteed Steak Rolls,Steak Rolls,Yummy Rolls,5,50.0,3,1
dnaughton9f@lsu.edu,741,Basketball,Wilson NCAA Street Shot Outdoor Basketball,"Wilson Basketball 9""",For WNBA and kids,5,145.0,3,1
dnaughton9f@lsu.edu,2505,Basketball,Wilson NCAA Street Shot Outdoor Basketball,"Wilson Basketball 9""",For WNBA and kids,5,145.0,3,1
amaccathayam@lsu.edu,786,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Linen Bathrobe,2,80.0,3,1
dbarrowcloughlz@lsu.edu,810,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,5,200.0,3,1
lsekulla8w@lsu.edu,849,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,4,160.0,3,1
srubinivitzlu@lsu.edu,870,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,3,120.0,3,1
rscampm5@lsu.edu,885,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,2,80.0,3,1
onewlindl@lsu.edu,909,Bath Robes,Waffled Bathrobe,Mainstays Waffled Bathrobe,Brobe,3,120.0,4,1
vcawr7@lsu.edu,915,Bath Robes,Waffled Bathrobe,Mainstays Waffled Bathrobe,Brobe,5,200.0,4,0
fthunder1p@webs.com,1065,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,3,120.0,5,1
eovenden5y@lsu.edu,1125,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,5,200.0,4,1
lthornberbk@lsu.edu,1146,Bath Robes,Waffled Bathrobe,Mainstays Waffled Bathrobe,Brobe,1,40.0,4,1
clelievre1q@spiegel.de,1401,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,5,200.0,3,1
amaccathayam@lsu.edu,2565,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Linen Bathrobe,2,80.0,3,1
dbarrowcloughlz@lsu.edu,2597,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,5,200.0,3,1
acazindy@lsu.edu,2,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,2,40.0,3,1
dbraffington7n@lsu.edu,31,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
ebromagei6@lsu.edu,44,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,5,100.0,3,1
rvanderhoeven9h@lsu.edu,61,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,20.0,3,1
cmabbsdt@lsu.edu,102,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,75.0,4,1
dgoodenoughgs@lsu.edu,104,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,4,1
tpollock7j@lsu.edu,113,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,20.0,4,1
tandino92@lsu.edu,154,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,20.0,4,1
mtuxell5t@lsu.edu,229,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,5,1
dbrinkworth7i@lsu.edu,263,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,15.0,3,1
hreavellhk@lsu.edu,294,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,4,80.0,3,1
belfordb@yahoo.co.jp,589,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,6,1
hmccurts@vinaora.com,855,Beauty Products,Satin and Lace Bathrobe,Lotus SuperProtector Sunscreen,Sunscreen,5,125.0,3,1
selliker1v@ibm.com,900,Beauty Products,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,4,80.0,4,1
ccolteneh@lsu.edu,1080,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,20.0,5,1
oflahiveif@lsu.edu,1221,Beauty Products,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,1,20.0,4,1
hreavellhk@lsu.edu,1242,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,75.0,4,1
bdenevehs@lsu.edu,1272,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,3,60.0,3,1
jtestro45@lsu.edu,1332,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,20.0,3,1
dbrinkworth7i@lsu.edu,1725,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,15.0,3,1
dgoodenoughgs@lsu.edu,1833,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,2,1
cmabbsdt@lsu.edu,1993,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,75.0,3,1
dbraffington7n@lsu.edu,2005,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
tandino92@lsu.edu,2049,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,20.0,3,1
belfordb@yahoo.co.jp,2141,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,3,1
rvanderhoeven9h@lsu.edu,2213,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,20.0,3,1
ebromagei6@lsu.edu,2265,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,5,100.0,3,1
mtuxell5t@lsu.edu,2269,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,3,1
hreavellhk@lsu.edu,2313,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,4,80.0,3,1
tpollock7j@lsu.edu,2401,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,1,20.0,3,1
acazindy@lsu.edu,2417,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,5,100.0,3,1
cosgar8u@lsu.edu,777,Beef & Lamb,Beef Ribeye Steak,Ribeye,Ready to Cook Ribeye,4,140.0,3,1
cosgar8u@lsu.edu,2553,Beef & Lamb,Beef Ribeye Steak,Ribeye,Ready to Cook Ribeye,4,140.0,3,1
jwooderson5q@lsu.edu,19,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,5,600.0,3,1
dbarrowcloughlz@lsu.edu,24,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,4,480.0,3,1
amarkosn0@lsu.edu,35,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,4,480.0,3,1
pslidders4f@lsu.edu,66,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,1,120.0,3,1
