email,first_name,last_name,gender,age,home_address_id,major
arubertelli0@lsu.edu,Ileana,Ziehms,Female,49,bbeb14f144684b76b5322bdee24f8c76,ACCOUNTING
tdoveston1@lsu.edu,Yvon,Normant,Male,40,50c5899c59314c8b9b67144c751254c0,ACCOUNTING
alemar2@lsu.edu,Ignacio,Surridge,Female,39,fc686c92ea674088b447391f63d0df7d,ACCOUNTING
igetley3@lsu.edu,Jimmie,Woods,Male,31,d6381d64dc0d4dd9897441f99a3a6012,ACCOUNTING
fenrrico4@lsu.edu,Meta,Ajean,Female,41,5b343fe537ee4f7dbbecc185594ce981,ACCOUNTING
eedgell5@lsu.edu,Amber,Dow,Male,52,66ef72c005c64ffa854d3d3b276e84f8,ACCOUNTING
fbehling6@lsu.edu,Jodee,Giovanazzi,Female,24,d95756e7df3245f08bc50ad9964e89ba,ACCOUNTING
dcavilla7@lsu.edu,Arden,Bubb,Female,32,2977191e104d4c7aadee7d1d2ff6d3aa,ACCOUNTING
dsinkinson8@lsu.edu,Luciano,Holdren,Female,50,4808d5e89fad47ebbe0e7138d3be2204,ACCOUNTING
esaltrese9@lsu.edu,Maximilianus,Bache,Male,45,edf2a5d79c9546529c2bb4b961a201aa,ACCOUNTING
rgurnera@lsu.edu,Ulises,Baggs,Female,29,3c128de8de4a42c39127df8c45fd78a8,ACCOUNTING
dvolettb@lsu.edu,Kane,Longthorne,Female,42,c028eb30236e451595b72937ecc8add0,ACCOUNTING
dmcguggyc@lsu.edu,Frances,Alfonzo,Female,31,dc5d8da35dff449e92796955576dc797,ACCOUNTING
agirodond@lsu.edu,Gene,Jouaneton,Male,43,626a3b5430ab455eb6dca00281c49121,ACCOUNTING
wvanellie@lsu.edu,Lanette,Stanborough,Female,48,042c7aca516a4697b203dba1fbd41022,ACCOUNTING
ctowllf@lsu.edu,Bard,Tompkins,Male,23,526ee136891a4c8b9f0bc5c7686fe177,ACCOUNTING
ageillg@lsu.edu,Kissee,Greensmith,Female,29,03f2391ab81640d7a81c467b47a2585d,ACCOUNTING
ibossinghamh@lsu.edu,Duffie,Methingam,Male,22,f963598a67bb451dbe5bea16de639c49,ACCOUNTING
mkiernani@lsu.edu,Evered,Sedger,Female,26,4693c762be6f4ae0955a8835af865123,ACCOUNTING
nmiddisj@lsu.edu,Micaela,Sanpere,Male,53,f733d4e163f840d2975f54aa50e16c0d,AGRICULTURE
amcquaidek@lsu.edu,Nettie,MacGorman,Female,35,562898326a5649cdb13ce3a88983c54f,AGRICULTURE
lpitkinl@lsu.edu,Gideon,Ramalho,Male,41,d97f61e627b843b1bc4cd27545e1ec1f,AGRICULTURE
thostanm@lsu.edu,Calida,Elman,Male,25,3f73e7127a9c41b4a5146a08e474aedc,AGRICULTURE
tmushartn@lsu.edu,Florrie,Dufer,Male,42,eb1384ef7c134383ad4ef838e342acd2,AGRICULTURE
oguerreo@lsu.edu,Clair,Scardifeild,Male,23,e13c29ad9b834cab81f2189f1d87ff5f,AGRICULTURE
nsemeradp@lsu.edu,Rory,Buckenhill,Female,38,44e5527c7bd34aefb709208ce4272ac1,AGRICULTURE
dgoodbarrq@lsu.edu,Hube,Duffell,Male,52,1e637c95c6074a88babf7f4b3444f178,AGRICULTURE
lticknerr@lsu.edu,Wadsworth,Niessen,Male,53,733bcc9218a74de7a3a1358b3730c906,AGRICULTURE
jsoutherns@lsu.edu,Bel,Fisby,Female,58,592572ec48ed478bb1a007ef5520b314,AGRICULTURE
tplutherot@lsu.edu,Albrecht,Matschke,Female,41,784aa126a192426998f7bca47c9edf92,AGRICULTURE
