credit_card_num,card_type,expire_month,expire_year,security_code,Owner_email
5031-2233-4388-0682,Master ,11,2025,802,cgiacomucciqf@lsu.edu
5550-5460-0617-4004,Master ,3,2029,697,galldridge4x@lsu.edu
5419-0905-3558-0540,Master ,6,2030,849,msalvatore3m@lsu.edu
5245-6701-8180-6247,Master ,1,2027,789,pnetley4n@lsu.edu
5056-6156-7562-3421,Master ,7,2029,925,nscougallba@lsu.edu
5631-4760-0263-3883,Master ,7,2028,117,lkopeciu@lsu.edu
5574-1926-2512-5446,Master ,6,2028,27,kyabsleyln@lsu.edu
5368-3725-1968-1500,Master ,7,2029,739,ogajownikly@lsu.edu
5377-8247-5159-2201,Master ,12,2031,544,hmathivet8l@lsu.edu
5280-8979-7289-7714,Master ,11,2032,668,geakina0@lsu.edu
5484-9857-3178-4009,Master ,8,2031,941,dstricklandma@lsu.edu
5632-5232-1034-1671,Master ,10,2029,723,mmcterry83@lsu.edu
5680-4280-2395-6245,Master ,3,2032,855,cthumann4h@lsu.edu
5865-4094-9306-8958,Master ,11,2023,731,gspringettim@lsu.edu
5287-1629-3504-2097,Master ,6,2023,276,qmawbyqd@lsu.edu
5287-8848-9539-2434,Master ,8,2030,421,ahadlee1p@lsu.edu
5351-7119-3683-1149,Master ,3,2024,669,gtabbk7@lsu.edu
5678-1373-8697-8650,Master ,12,2025,329,ewhiffenoo@lsu.edu
5875-0993-8092-1827,Master ,11,2027,34,dbleasbyq3@lsu.edu
5130-8598-4809-1805,Master ,11,2025,766,dstryde3k@lsu.edu
5425-0527-4559-8498,Master ,2,2032,834,krelfeam@lsu.edu
5771-8710-0557-7664,Master ,4,2028,335,ltrippie@lsu.edu
5235-3212-3647-2734,Master ,1,2028,693,agabbitasns@lsu.edu
5689-9195-2204-9805,Master ,5,2025,607,akittemancq@lsu.edu
5233-8621-0846-1878,Master ,12,2031,875,gsallye2@lsu.edu
5154-8345-3282-4549,Master ,3,2030,985,lchaperlingfk@lsu.edu
5657-7989-9810-8873,Master ,10,2029,675,fjanciklu@lsu.edu
5609-4619-5730-6549,Master ,6,2032,372,ltrenfieldnt@lsu.edu
5526-8771-3448-7102,Master ,4,2027,197,lblaxill3s@lsu.edu
5408-7931-6477-7366,Master ,11,2032,607,dshuttlewood82@lsu.edu
5510-0836-4699-3424,Master ,5,2030,976,kcoughlan1f@lsu.edu
5868-9554-6361-5235,Master ,8,2029,734,ahaxellil@lsu.edu
5995-4128-5461-0198,Master ,11,2032,270,rstanelandj2@lsu.edu
5708-5658-2515-2614,Master ,12,2027,576,smasselin90@lsu.edu
5529-7957-0332-7736,Master ,2,2029,363,cpetracchiqr@lsu.edu
5056-5723-1651-3454,Master ,5,2029,512,kmerner5m@lsu.edu
5834-5016-4290-6697,Master ,4,2024,451,odilke64@lsu.edu
5455-2628-7626-6549,Master ,8,2031,246,kgedney5c@lsu.edu
5272-7813-6844-5555,Master ,1,2029,661,tandino92@lsu.edu
5148-7899-6703-3092,Master ,10,2031,850,ewithers9j@lsu.edu
5968-9091-5700-1726,Master ,8,2029,239,jboultwoodre@lsu.edu
5398-3191-8718-5946,Master ,12,2026,322,smutlow4d@lsu.edu
5410-4190-7650-6373,Master ,2,2028,966,rcorderoyey@lsu.edu
5536-7221-7523-6788,Master ,1,2031,111,pbullusj6@lsu.edu
5469-6815-7269-8623,Master ,5,2029,366,egaylord7w@lsu.edu
5893-0899-6840-7330,Master ,6,2032,13,rgiloglyae@lsu.edu
5141-4966-3110-4199,Master ,7,2026,215,bscriven8m@lsu.edu
5116-5796-4476-2043,Master ,11,2031,716,phansard9g@lsu.edu
5363-4297-5642-4426,Master ,10,2032,364,fhammon9o@lsu.edu
5217-4220-9819-6226,Master ,1,2023,133,gwestcotcr@lsu.edu
5848-4835-1852-6275,Master ,2,2028,951,probinsonec@lsu.edu
5394-9290-5765-2758,Master ,6,2024,276,dcopshr@lsu.edu
5519-6452-3080-1535,Master ,7,2027,127,npallaschk8@lsu.edu
5825-8113-0072-1312,Master ,10,2032,279,dpollastroneg@lsu.edu
5195-8291-1345-0704,Master ,11,2031,12,tsolman25@lsu.edu
5304-3379-8263-5527,Master ,7,2027,266,ehaspineallfb@lsu.edu
5404-5299-0055-1771,Master ,6,2032,293,esavaageho@lsu.edu
5647-3787-6331-3220,Master ,9,2031,746,ggemmillv@lsu.edu
5362-1389-0084-7950,Master ,7,2023,159,eranfield2x@lsu.edu
5766-8985-1870-3355,Master ,3,2032,944,lpawlyn35@lsu.edu
