Bidder_Email,Seller_Email,Date,Rating,Rating_Desc
dvolettb@lsu.edu,nrideoutmi@lsu.edu,10/26/21,4,Awesome
arubertelli0@lsu.edu,nrideoutmi@lsu.edu,7/31/21,4,Awesome
tdoveston1@lsu.edu,ndutchburnel@lsu.edu,2/26/22,1,Bad
dcavilla7@lsu.edu,wlaurancegt@lsu.edu,11/27/21,3,Not Bad
fenrrico4@lsu.edu,wlaurancegt@lsu.edu,4/10/21,1,Bad
fbehling6@lsu.edu,predittjv@lsu.edu,3/15/21,2,Not Bad
dcavilla7@lsu.edu,dnaughton9f@lsu.edu,11/12/21,2,Not Bad
dsinkinson8@lsu.edu,rpointn@globo.com,2/1/22,3,Not Bad
fbehling6@lsu.edu,wspadelli8j@lsu.edu,9/7/21,5,Awesome
esaltrese9@lsu.edu,wspadelli8j@lsu.edu,5/26/21,5,Awesome
rgurnera@lsu.edu,gdowtry4j@lsu.edu,1/17/22,4,Awesome
dvolettb@lsu.edu,clelievre1q@spiegel.de,4/28/21,1,Bad
dmcguggyc@lsu.edu,jspraggon8f@lsu.edu,3/4/21,2,Not Bad
agirodond@lsu.edu,jkasman1i@histats.com,12/10/21,5,Awesome
wvanellie@lsu.edu,spinwillhg@lsu.edu,7/8/21,2,Not Bad
ctowllf@lsu.edu,cmaxted8c@lsu.edu,6/25/21,4,Awesome
ageillg@lsu.edu,kfeeney30@lsu.edu,3/21/21,4,Awesome
ibossinghamh@lsu.edu,dcordeniw@lsu.edu,2/16/22,4,Awesome
nsemeradp@lsu.edu,cmcpolindw@lsu.edu,3/16/21,5,Awesome
dgoodbarrq@lsu.edu,dbrinkworth7i@lsu.edu,8/27/21,4,Awesome
lticknerr@lsu.edu,tappleton2n@delicious.com,7/14/21,5,Awesome
jsoutherns@lsu.edu,gcordall73@lsu.edu,7/5/21,1,Bad
tplutherot@lsu.edu,dbarrowcloughlz@lsu.edu,8/31/21,1,Bad
hshippu@lsu.edu,nheckjx@lsu.edu,12/22/21,3,Not Bad
acokev@lsu.edu,bspottiswoodhm@lsu.edu,9/15/21,1,Bad
ncamelliw@lsu.edu,gmosconegr@lsu.edu,7/5/21,2,Not Bad
ufriendx@lsu.edu,akelby20@drupal.org,7/22/21,1,Bad
asaveryy@lsu.edu,lbyrdgk@lsu.edu,3/29/21,3,Not Bad
tschinettiz@lsu.edu,mlempertz10@yandex.ru,4/14/21,2,Not Bad
ecancelier10@lsu.edu,zcowl7l@lsu.edu,1/17/22,2,Not Bad
echristescu11@lsu.edu,asimonsen7z@lsu.edu,3/27/21,5,Awesome
mbrumby12@lsu.edu,pslidders4f@lsu.edu,11/22/21,1,Bad
hbickell13@lsu.edu,awillderjq@lsu.edu,9/2/21,4,Awesome
mgorgen14@lsu.edu,avenablesi@salon.com,12/10/21,4,Awesome
dmetson15@lsu.edu,cmcallof@lsu.edu,9/4/21,2,Not Bad
cbacop16@lsu.edu,lsekulla8w@lsu.edu,11/21/21,4,Awesome
baddeycott17@lsu.edu,atorrejon3c@lsu.edu,8/4/21,3,Not Bad
bbauldrey18@lsu.edu,hmccurts@vinaora.com,7/10/21,1,Bad
scallinan19@lsu.edu,alillecrop1u@about.com,5/5/21,2,Not Bad
tdomingues1a@lsu.edu,ofumagalliqv@lsu.edu,3/29/21,1,Bad
smahony1b@lsu.edu,wsemechikci@lsu.edu,1/27/22,1,Bad
pcondon1c@lsu.edu,ttremollet2t@lsu.edu,9/20/21,3,Not Bad
sbussy1d@lsu.edu,srubinivitzlu@lsu.edu,8/6/21,4,Awesome
esavile1e@lsu.edu,ascohiergc@lsu.edu,2/13/22,5,Awesome
kcoughlan1f@lsu.edu,ihannondki@lsu.edu,5/15/21,1,Bad
faisman1g@lsu.edu,avirr66@lsu.edu,5/5/21,1,Bad
ymargarson1h@lsu.edu,dgoodenoughgs@lsu.edu,4/5/21,1,Bad
cstrooband1i@lsu.edu,rscampm5@lsu.edu,7/23/21,5,Awesome
elosebie1j@lsu.edu,kkiesselhe@lsu.edu,9/26/21,5,Awesome
lthursby1k@lsu.edu,tkorting48@lsu.edu,11/15/21,1,Bad
hraffin1l@lsu.edu,mbuesdennk@lsu.edu,5/24/21,5,Awesome
ajancey1m@lsu.edu,rcayton5r@lsu.edu,6/16/21,4,Awesome
sbecks1n@lsu.edu,selliker1v@ibm.com,1/14/22,3,Not Bad
dfahrenbach1o@lsu.edu,rstanwixm3@lsu.edu,8/13/21,4,Awesome
ehaglinton1p@lsu.edu,ehaspineallfb@lsu.edu,9/1/21,4,Awesome
mangeau1q@lsu.edu,onewlindl@lsu.edu,3/13/21,1,Bad
lsturley1r@lsu.edu,gdeblaseer@lsu.edu,8/10/21,5,Awesome
wberthon1s@lsu.edu,vcawr7@lsu.edu,3/3/21,1,Bad
tmoberley20@lsu.edu,glibbie7q@lsu.edu,2/4/22,4,Awesome
ajancey1m@lsu.edu,glibbie7q@lsu.edu,2/13/22,2,Not Bad
cbarnhart1t@lsu.edu,glibbie7q@lsu.edu,7/16/21,3,Not Bad
hpuleque1u@lsu.edu,emillhill6q@lsu.edu,2/19/22,2,Not Bad
cadamowicz1v@lsu.edu,iciobotarujm@lsu.edu,9/15/21,5,Awesome
ahilland1w@lsu.edu,mfairhamf0@lsu.edu,7/17/21,2,Not Bad
idelaprelle1x@lsu.edu,gnorecb@lsu.edu,11/11/21,2,Not Bad
sdavid1y@lsu.edu,rgoulbornegn@lsu.edu,2/23/22,5,Awesome
lraccio1z@lsu.edu,bspencleyka@lsu.edu,12/4/21,2,Not Bad
tmoberley20@lsu.edu,hleroy7s@lsu.edu,12/4/21,4,Awesome
rbroadberrie21@lsu.edu,dbrigstocko2@lsu.edu,2/21/22,1,Bad
vshingfield22@lsu.edu,nlarhamap@lsu.edu,12/8/21,5,Awesome
knoni23@lsu.edu,mcrumlyfk@lsu.edu,4/14/21,1,Bad
