email,bank_routing_number,bank_account_number,balance
nrideoutmi@lsu.edu,0011-4959-0,31923667,195263
ndutchburnel@lsu.edu,0011-4959-0,39569244,965663
wlaurancegt@lsu.edu,0011-4959-0,23574215,147512
rdichee@adobe.com,0011-4959-0,35390965,762084
dmccritchiej3@lsu.edu,0011-4959-0,35256888,58252
ghalvorsen95@lsu.edu,0011-4959-0,58649442,219747
predittjv@lsu.edu,0011-4959-0,20682415,697018
dnaughton9f@lsu.edu,0011-4959-0,11818292,920089
rpointn@globo.com,0011-4959-0,24213146,150282
wspadelli8j@lsu.edu,0011-4959-0,80358214,352859
gdowtry4j@lsu.edu,0011-4959-0,45962356,677138
clelievre1q@spiegel.de,0011-4959-0,59972921,157588
jspraggon8f@lsu.edu,0011-4959-0,15779008,550312
jkasman1i@histats.com,0011-4959-0,99662797,144374
spinwillhg@lsu.edu,0011-4959-0,11394287,529283
cmaxted8c@lsu.edu,0011-4959-0,97123314,346432
kfeeney30@lsu.edu,0011-4959-0,59170012,153670
dcordeniw@lsu.edu,0011-4959-0,48941864,470541
cosgar8u@lsu.edu,0011-4959-0,39317553,513259
ldickinsbh@lsu.edu,0011-4959-0,81042836,885490
bdeavenell7o@lsu.edu,0011-4959-0,72473299,462525
amaccathayam@lsu.edu,0011-4959-0,87104824,168507
bstrangeri3@lsu.edu,0011-4959-0,73981542,39149
bbartkowiak6t@lsu.edu,0011-4959-0,69334799,194857
amarkosn0@lsu.edu,0011-4959-0,85678344,374464
cmcpolindw@lsu.edu,0011-4959-0,31786159,31138
dbrinkworth7i@lsu.edu,0011-4959-0,99008088,372277
tappleton2n@delicious.com,0011-4959-0,75725876,875783
gcordall73@lsu.edu,0011-4959-0,75433739,887123
dbarrowcloughlz@lsu.edu,0011-4959-0,82733575,270843
nheckjx@lsu.edu,0011-4959-0,74688387,37520
bspottiswoodhm@lsu.edu,0011-4959-0,15411337,327309
gmosconegr@lsu.edu,0011-4959-0,62696976,917759
akelby20@drupal.org,0011-4959-0,80179144,504362
lbyrdgk@lsu.edu,0011-4959-0,28324190,493497
mlempertz10@yandex.ru,0011-4959-0,18183075,47552
zcowl7l@lsu.edu,0011-4959-0,85584567,103256
asimonsen7z@lsu.edu,0011-4959-0,76946752,24045
pslidders4f@lsu.edu,0011-4959-0,96352171,702588
awillderjq@lsu.edu,0011-4959-0,91868804,551177
avenablesi@salon.com,0011-4959-0,80367377,421223
cmcallof@lsu.edu,0011-4959-0,43061349,773449
lsekulla8w@lsu.edu,0011-4959-0,74734914,606721
atorrejon3c@lsu.edu,0011-4959-0,29985937,304019
hmccurts@vinaora.com,0011-4959-0,80010792,99947
alillecrop1u@about.com,0011-4959-0,30890692,651086
ofumagalliqv@lsu.edu,0011-4959-0,57354762,304635
wsemechikci@lsu.edu,0011-4959-0,66956306,256552
ttremollet2t@lsu.edu,0011-4959-0,31383318,698348
srubinivitzlu@lsu.edu,0011-4959-0,47497080,385296
ascohiergc@lsu.edu,0011-4959-0,87758233,463309
