Transaction_ID,Seller_Email,Listing_ID,Bidder_Email,Date,Payment
511,alillecrop1u@about.com,197,scallinan19@lsu.edu,5/5/21,3550
587,ofumagalliqv@lsu.edu,193,tdomingues1a@lsu.edu,3/29/21,70
600,emillhill6q@lsu.edu,927,gleddie3a@lsu.edu,11/11/22,310
111,pslidders4f@lsu.edu,1773,ctowllf@lsu.edu,5/30/20,150
120,abartoszek16@reuters.com,1173,tmushartn@lsu.edu,3/7/23,100
152,dairthno@lsu.edu,2257,zcallis3n@lsu.edu,1/13/21,180
167,wspadelli8j@lsu.edu,2517,mdrache3p@lsu.edu,1/12/21,301
171,dabelson7x@lsu.edu,363,dsquelch3t@lsu.edu,2/23/19,4890
222,wsemechikci@lsu.edu,864,atythacott4a@lsu.edu,2/14/20,1200
221,rburtwistler8@lsu.edu,999,tinch4k@lsu.edu,3/2/21,420
230,ctelezhking7@lsu.edu,1176,jcory4w@lsu.edu,4/1/22,1767
242,dabelson7x@lsu.edu,2117,kgedney5c@lsu.edu,4/2/22,4300
245,cpennettalf@lsu.edu,1248,landrysek5f@lsu.edu,4/6/20,24
250,kfeeney30@lsu.edu,2545,ykopec5o@lsu.edu,1/2/22,13
271,mamymo@lsu.edu,16,vwyse61@lsu.edu,6/12/21,3370
301,mbuesdennk@lsu.edu,253,wdevorill6b@lsu.edu,5/12/20,79
300,gmackall4z@lsu.edu,1062,emillhill6q@lsu.edu,8/4/20,210
289,tlinebargerh@flickr.com,1326,bmaasze6z@lsu.edu,7/7/21,402
340,kfeeney30@lsu.edu,215,adawdry76@lsu.edu,6/24/19,155
355,rdichee@adobe.com,1625,dbrinkworth7i@lsu.edu,5/4/22,113
360,bspencleyka@lsu.edu,1913,vblackford7w@lsu.edu,5/3/21,185
365,eparmanpy@lsu.edu,2345,itousy89@lsu.edu,1/14/23,250
444,ahaskerjg@lsu.edu,1251,fgomer8i@lsu.edu,10/10/20,782
450,jberntjd@lsu.edu,72,cosgar8u@lsu.edu,11/5/21,45
455,jkasman1i@histats.com,1673,bgrund94@lsu.edu,8/23/22,55
459,nheckjx@lsu.edu,813,cspradbery9c@lsu.edu,12/24/21,159
480,fdeans6l@lsu.edu,238,eoleszczak9l@lsu.edu,10/5/22,82
483,zcornillibb@lsu.edu,84,iswyera0@lsu.edu,2/28/22,200
490,wlaurancegt@lsu.edu,717,eshawlag@lsu.edu,4/12/21,35
500,tlinebargerh@flickr.com,1,rmacgilmartinat@lsu.edu,3/6/19,3450
